,no,hh,ha,hs,he,ci,cw,re,la,u1,u2,u3,le,mw,sa,pr,ra,h,co_1,co_10,co_11,co_12,co_14,co_15,co_16,co_17,co_18,co_2,co_20,co_21,co_21A,co_21G,co_21H,co_21L,co_21M,co_21W,co_22,co_24,co_3,co_4,co_5,co_6,co_7,co_8,co_9,co_AS,co_CC,co_CDO,co_CMS,co_CSB,co_CSE,co_EC,co_EM,co_ES,co_ESD,co_HST,co_IDS,co_MAS,co_MS,co_NS,co_OR,co_RED,co_SCM,co_SDM,co_SP,co_STS,co_WGS,has_pr,avg_pr_ra,max_pr_ra,avg_pr_h,max_pr_h
1577,21A.504,0,0,1,0,0,0,0,0,3,0,9,0,[''],"['STS.086', ' WGS.276']",[],6.6,6.8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1578,21A.507,0,1,0,0,0,0,0,0,3,0,9,0,"['4.649', ' 21A.519']",['4.648'],[],7.0,10.6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1579,21A.519,0,0,0,0,0,0,0,0,3,0,9,1,"['4.648', ' 21A.507']",['4.649'],[],7.0,10.6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1580,21A.819,0,0,0,0,0,0,0,0,3,6,3,1,[''],[''],[],6.2060611943682495,14.874781991287684,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1581,21A.859,0,0,0,0,0,0,0,0,3,0,9,1,[''],['STS.250'],[],6.0,13.8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1582,21A.901,0,0,0,0,0,0,0,0,0,0,0,0,[''],[''],[],6.305964568281743,8.72336023561801,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1583,21A.902,0,0,0,0,0,0,0,0,0,0,0,0,[''],[''],[],6.305964568281743,8.72336023561801,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1584,21A.929,0,0,0,0,0,0,0,0,0,0,0,1,[''],[''],[],6.454861915273701,10.644178864220816,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1585,21A.939,0,0,0,0,0,0,0,0,0,0,0,1,[''],[''],[],6.454861915273701,10.644178864220816,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1586,21A.949,0,0,0,0,0,0,0,0,0,0,0,1,[''],[''],[],6.454861915273701,10.644178864220816,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
